RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3176,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3614,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2748,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2757,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1948,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1990,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1943,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2304,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2203,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2685,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2403,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
