RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
14407,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3972,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3791,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
7039,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4351,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3751,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5983,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4014,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
7078,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
7190,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
6783,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
7047,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4687,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5710,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
6015,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2199,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2390,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2767,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2382,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3359,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2647,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3791,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4255,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
12207,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3823,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4559,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3223,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
10775,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
1951,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2375,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2719,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3142,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4071,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4887,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3103,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3119,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5031,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4455,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5447,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4711,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3111,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4453,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
8744,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3695,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2215,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4423,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
18415,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5950,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2703,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
14766,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3703,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2615,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2318,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4182,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
13023,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
1951,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4519,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4039,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3478,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3103,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5639,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3167,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
11399,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2599,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4446,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5168,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2151,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5575,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4974,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4480,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4279,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
7807,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3383,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5302,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3815,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3231,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
1991,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2727,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4775,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3823,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2933,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4927,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3759,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3495,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3055,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
8231,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4447,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2390,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
6079,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2455,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
4590,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2895,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3255,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
5519,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
2063,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3487,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
7495,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
3999,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,606cb493430bb0d95a005687,"05/04/2022, 10:28:36"
