RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
5277,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
7914,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3049,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
6249,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
5134,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3649,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
4798,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
4700,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2898,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3899,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
5548,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2201,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1951,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2180,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2299,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2150,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2615,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3283,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2782,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2034,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3282,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2216,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1969,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2697,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3433,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
