RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
6454,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4690,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4875,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
5508,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3399,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
6910,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2786,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4371,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4477,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3708,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4025,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4160,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3269,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2929,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
7152,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3656,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4441,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
5496,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4290,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2697,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2685,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4225,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
6047,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4752,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
5512,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
6173,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3232,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4463,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2734,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3527,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
6423,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
5664,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3626,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3623,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2578,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3144,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2785,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
5895,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2759,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
6282,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
5062,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4676,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
7601,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4749,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4297,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2715,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4268,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2986,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3411,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4197,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3008,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3447,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2713,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3312,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3246,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4837,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3691,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3569,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
8523,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3592,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3094,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2960,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3532,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2643,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3202,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3367,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2599,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4220,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3143,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2972,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2955,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3310,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
5427,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2790,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4613,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2827,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3492,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
8915,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3153,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3871,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4536,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2301,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
4016,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
2492,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3916,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
3582,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61484dd5aaa31d99ccac968e,"05/04/2022, 09:51:19"
