RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
38098,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
13533,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4432,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
152889,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5126,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6200,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6478,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8037,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7188,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
17629,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
12974,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
9329,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8114,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7743,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5593,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
75711,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
10302,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
10325,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
10021,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
15748,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
13525,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
45489,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8118,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6094,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5331,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4240,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
16847,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7615,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4794,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5275,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6863,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5704,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4686,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8527,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4666,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
10909,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
9161,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5201,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5337,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4414,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
9780,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
13941,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
16223,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5992,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
9447,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6443,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6486,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7611,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4585,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7972,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4762,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
3561,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
3420,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5593,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
3872,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7885,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4830,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
