RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2169,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2173,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2088,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
1968,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2667,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
1852,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2270,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2962,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2331,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2511,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2379,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3116,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2193,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3347,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3409,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3027,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2299,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2748,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2284,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2776,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4725,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2595,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2427,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2365,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2538,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2085,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2445,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2662,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2319,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
file,isFamiliar,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_M_tom_hankes.png,1,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
P_M_bill_clinton.png,1,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
P_M_david_cameron.png,1,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
P_M_Tony_Blair.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_M_michael_caine.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
P_F_nicola_sturgeon.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
P_F_hillary_clinton.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_M_robert_de_niro.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_F_Kate_Winslet.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
P_M_boris_johnson.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_M_nicolas_cage.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_F_angelina_jolie.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
P_M_donald_trump.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_F_sandra_bullock.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
P_F_tehresy_may.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_M_Hugh_Grant.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
P_M_george_Wbush.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_F_jennifer_aniston.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_F_Judi_Dench.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
E_F_keira_knightley.png,0,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
age: 27,gender: Female,handedness: right,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
