RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2463,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2215,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2735,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2511,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2856,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3471,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2895,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
5303,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3432,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3232,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1807,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2151,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2183,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
5759,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1719,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1648,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2232,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2087,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2120,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2712,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1504,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2528,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
