RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
8749,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
4426,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
8530,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6031,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6515,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
3096,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6150,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
8350,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
file,isFamiliar,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_M_robert_de_niro.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_F_jennifer_aniston.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
P_M_george_Wbush.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_F_Judi_Dench.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_M_michael_caine.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
P_M_david_cameron.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
P_M_donald_trump.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
P_M_Tony_Blair.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
P_M_boris_johnson.png,1,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_F_sandra_bullock.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
P_F_hillary_clinton.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_F_angelina_jolie.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
P_M_bill_clinton.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_M_nicolas_cage.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_M_Hugh_Grant.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_M_tom_hankes.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
P_F_tehresy_may.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_F_Kate_Winslet.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
P_F_nicola_sturgeon.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
E_F_keira_knightley.png,0,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
age: 29,gender: Female,handedness: left,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
