RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2862,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3520,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3557,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3816,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2173,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1952,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2721,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1993,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2812,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
4217,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2875,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3640,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2568,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2701,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1817,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1997,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2101,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2490,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2516,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3035,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3624,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2072,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2749,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3060,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2227,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3147,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2720,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2102,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3948,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3264,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2025,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3489,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2528,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2066,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2229,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1970,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1940,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2088,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2060,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3707,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
4669,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2670,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2990,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
4058,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2641,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2455,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2015,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2281,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2624,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
