RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4051,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5059,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
12165,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
8172,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5322,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
8037,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6675,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5350,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6246,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4155,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3938,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5903,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5850,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3544,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5113,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
