RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2106,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1706,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
6779,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2826,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2431,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4976,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3380,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
5114,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4441,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4544,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3378,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2239,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3030,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4027,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4083,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2330,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
7107,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3162,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2507,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3493,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4948,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3374,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4593,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2797,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
8194,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
11515,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
5401,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4409,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4993,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
6040,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2937,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2974,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1974,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2007,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3000,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1729,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
6337,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4146,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4902,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3977,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3765,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2288,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
8347,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2104,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4007,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
6507,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3359,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2343,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3462,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3859,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2217,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2013,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1946,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
