RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2650,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4262,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1769,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2260,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1816,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2596,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3527,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2472,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3008,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4427,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4790,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2870,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3142,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2705,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2204,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4277,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4770,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
6587,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4811,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2483,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2855,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4037,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1885,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2491,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2094,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2049,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3228,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2982,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1342,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2085,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2039,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2450,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3642,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1964,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1678,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2746,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1737,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1934,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2228,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3198,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1894,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2640,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2865,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2096,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1885,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1973,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2128,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2719,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2719,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1915,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2395,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2440,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2967,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
file,isFamiliar,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_M_nicolas_cage.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_F_Kate_Winslet.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
P_M_george_Wbush.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_F_angelina_jolie.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_F_sandra_bullock.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
P_M_Tony_Blair.png,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_M_robert_de_niro.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_M_tom_hankes.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_F_Judi_Dench.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
P_M_boris_johnson.png,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
P_M_donald_trump.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_M_Hugh_Grant.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_M_michael_caine.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
P_M_david_cameron.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_F_keira_knightley.png,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
P_F_hillary_clinton.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
P_F_tehresy_may.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
E_F_jennifer_aniston.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
P_M_bill_clinton.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
P_F_nicola_sturgeon.png,0,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
age: 30,gender: Male,handedness: right,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
