RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5838,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
6783,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2236,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3402,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
11464,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2179,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
137241,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2818,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2721,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
43028,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
12170,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2535,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5340,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2000,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2361,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2800,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
1903,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2317,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4603,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4121,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2900,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3019,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3339,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3260,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
10321,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
