RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3081,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2367,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3786,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3102,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2195,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2207,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2625,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2707,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2403,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3036,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2569,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2483,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2986,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1877,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2937,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
6631,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
file,isFamiliar,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_M_Hugh_Grant.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_M_tom_hankes.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
P_M_bill_clinton.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_F_jennifer_aniston.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_M_nicolas_cage.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
P_M_boris_johnson.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
P_F_hillary_clinton.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
P_F_nicola_sturgeon.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
P_M_david_cameron.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_F_Judi_Dench.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
P_M_Tony_Blair.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_F_keira_knightley.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_M_michael_caine.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_M_robert_de_niro.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_F_Kate_Winslet.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_F_angelina_jolie.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
P_F_tehresy_may.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
P_M_george_Wbush.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
E_F_sandra_bullock.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
P_M_donald_trump.png,0,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
age: 28,gender: Female,handedness: right,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
