RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2902,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2318,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2117,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3496,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3219,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2189,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3791,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2329,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3036,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2340,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2677,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2153,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2931,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3414,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
5769,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3781,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2821,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3775,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3057,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3550,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3611,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2335,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2446,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
5859,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2634,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2894,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3985,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2761,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3646,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2152,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2850,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2251,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2218,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2594,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2095,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2252,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2107,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2155,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
1872,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
1625,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
