RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3411,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2929,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3225,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3426,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3192,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2119,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2206,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
1705,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4311,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2012,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3112,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2470,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2086,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
file,isFamiliar,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_M_Russell_Howard.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_M_Jimmy_Carr.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_M_Gordon_Brown.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_F_Jennifer_Saunders.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_M_Tony_Blair.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_F_Dawn_Roma_French.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
