RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2646,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3558,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3250,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2786,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2953,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2708,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3354,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2458,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2072,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1941,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2646,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2372,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2244,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2838,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2519,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2103,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2649,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2567,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2983,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2099,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3031,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2757,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2599,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2901,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1975,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2069,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
6247,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2175,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3137,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2410,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2294,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3497,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1847,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2865,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2545,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2125,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3459,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2147,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3928,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2142,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2829,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2372,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
5761,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2440,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3264,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
4205,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3507,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2529,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2081,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2154,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3845,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2476,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2033,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3180,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2626,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
