RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1219,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1762,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1207,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2791,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1371,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1259,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
956,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1189,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1138,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1605,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1461,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
5976,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
6976,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1494,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2292,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2533,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1072,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
26147,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1662,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1508,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1851,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1669,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2078,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2986,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2001,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1363,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1365,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1453,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1888,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1927,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1247,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2151,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
4853,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1432,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1945,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1495,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2460,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1145,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1182,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1346,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1092,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1658,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2572,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2313,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1468,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2809,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2467,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1240,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
file,isFamiliar,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_M_Gordon_Brown.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_M_Jimmy_Carr.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_M_Sajid_Javid.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_M_Simon_Pegg.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_M_Tony_Blair.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_M_Michael_McIntyr.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_F_nicola_sturge.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_M_Russell_Howard.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_F_Dawn_Roma_French.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_M_Peter_Kay.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_M_david_camer.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_F_Sarah_Millican.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_M_nigel_farage.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_M_Michael_Gove.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_M_keir_starmer.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_F_Jennifer_Saunders.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_F_Theresa_May.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
P_M_jeremy_corbyn.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_F_Julie_Walters.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
E_M_Ewan_McGregor.png,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
age: 31,gender: Female,handedness: left,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
