RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4949,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
10976,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
file,isFamiliar,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_M_Simon_Pegg.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_F_Dawn_Roma_French.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_F_Jennifer_Saunders.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_M_keir_starmer.png,0,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_F_Theresa_May.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_M_Sajid_Javid.png,0,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_F_nicola_sturge.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_M_Tony_Blair.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_M_Ewan_McGregor.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_M_Michael_Gove.png,0,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_M_Russell_Howard.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_M_david_camer.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_F_Sarah_Millican.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_M_jeremy_corbyn.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_M_Peter_Kay.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_F_Julie_Walters.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_M_nigel_farage.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
P_M_Gordon_Brown.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_M_Michael_McIntyr.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
E_M_Jimmy_Carr.png,1,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
age: 35,gender: Male,handedness: right,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
