RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
4658,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
4261,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
4406,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
3287,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
3109,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
3432,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
2655,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
2797,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
2204,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
3041,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
4270,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
4043,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6137e8f606da0457071cbcfc,"07/06/2022, 17:17:16"
