RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
16912,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4562,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
20273,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
10496,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
24436,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4755,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
8035,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5713,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
12773,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
18054,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3156,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6814,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3814,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3198,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
17937,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5557,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6057,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5173,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4039,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
13117,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3873,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
10114,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
14454,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
13957,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
file,isFamiliar,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_M_david_camer.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_M_Michael_Gove.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_M_Simon_Pegg.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_M_Russell_Howard.png,0,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_M_Peter_Kay.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_M_nigel_farage.png,0,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_F_Julie_Walters.png,0,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_M_Gordon_Brown.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_M_jeremy_corbyn.png,0,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_M_Sajid_Javid.png,0,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_M_Michael_McIntyr.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_F_nicola_sturge.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_M_Tony_Blair.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_M_Jimmy_Carr.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_F_Sarah_Millican.png,0,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_F_Jennifer_Saunders.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_M_keir_starmer.png,0,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_F_Dawn_Roma_French.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
E_M_Ewan_McGregor.png,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
P_F_Theresa_May.png,0,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
age: 34,gender: Male,handedness: right,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
