RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
5030,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
3980,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
4070,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
4393,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
3599,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
4062,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
3724,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
3894,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
3113,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
2491,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
6709,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
4333,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
4735,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
4016,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
3687,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,55cff4a834e9060012e57407,"07/06/2022, 17:29:16"
