RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
7854,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
6075,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
4118,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
7212,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
3072,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2547,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
3546,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
3250,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2470,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2227,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
4341,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
3989,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
3954,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
3071,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
3552,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2826,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
4917,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
3036,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2352,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2104,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
7207,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
23390,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
5506,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2321,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2430,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2367,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
2218,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
3293,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a625b1663394a0001554753,"07/06/2022, 17:18:43"
