RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3853,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3154,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3135,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2694,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2827,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3793,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2724,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3334,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3407,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2645,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3739,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3755,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3166,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
