RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
9836,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2477,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3283,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2390,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2951,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4613,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4035,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4481,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
7581,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3343,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3191,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
5197,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2550,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1851,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4893,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2233,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3335,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2018,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4189,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2973,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
5234,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4277,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4493,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4256,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2412,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
5166,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4155,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
6063,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2693,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1947,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4156,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4263,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2595,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
23058,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
