RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
8249,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
6529,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4902,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2848,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
5893,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3641,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3513,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3402,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2743,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
5806,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3970,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2871,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2671,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3312,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2260,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2733,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3787,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3193,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
7516,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4538,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2465,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4853,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3795,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4929,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
6519,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4316,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2561,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2287,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2395,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2723,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4472,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2473,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3466,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4670,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3406,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2569,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3625,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2824,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4802,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3153,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2610,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3315,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2431,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3429,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2997,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2557,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2943,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2783,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4534,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3378,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
5101,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4396,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2469,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2881,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2769,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
9040,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2761,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3168,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2220,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2679,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2713,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2630,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
7132,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3746,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2439,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4399,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3193,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3120,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3321,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2128,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2309,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2767,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4699,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2867,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3419,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2445,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2913,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2782,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2453,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4470,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3963,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3184,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2690,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4200,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2801,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
5300,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2392,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2598,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3858,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2974,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3318,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3233,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
