RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5591,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3651,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3668,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
7022,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3715,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3994,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2981,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
6500,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2940,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4541,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2467,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3003,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4843,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5155,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2562,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
6301,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4137,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3370,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3156,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2587,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2875,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5186,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3336,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2831,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4210,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3660,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5352,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4912,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4356,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2820,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4556,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2591,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2762,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
6260,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2837,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3242,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2890,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4498,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
