RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2945,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3144,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2780,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3650,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4524,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2976,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2524,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3900,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4841,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4935,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3360,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2493,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3315,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3234,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
