RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2465,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2108,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
6737,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3738,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2955,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
6502,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
10431,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2416,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3867,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2440,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2839,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2189,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
5634,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2108,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
8884,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
