RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
7156,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
4897,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2604,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
4827,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3531,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
4894,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
4012,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2430,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
4738,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3609,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2404,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2743,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3727,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2401,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3169,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3754,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2631,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2687,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3463,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2564,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3402,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3350,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3511,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2679,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
4759,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3320,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3435,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2551,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2197,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2291,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
2307,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
3217,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c2fd3b663228200017facfa,"07/06/2022, 17:18:58"
