RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
9315,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
9211,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2574,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2734,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3429,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
16397,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
15909,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2692,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
8275,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3659,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
22004,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2698,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
8527,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
