RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2822,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3516,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3165,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2214,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3778,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1869,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1789,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3922,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2208,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1652,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2837,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2078,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2367,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
4638,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3072,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2339,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2925,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2960,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2894,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1535,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1727,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2045,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2342,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3883,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3377,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2547,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3839,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2961,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3904,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
4036,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3675,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
