RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2085,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2374,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3821,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2119,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
1953,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
1847,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
1881,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2511,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2539,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
1919,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3482,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
1897,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2443,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3235,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3182,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3847,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2423,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4874,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3109,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2071,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3729,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
file,isFamiliar,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_F_nicola_sturge.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_M_Ewan_McGregor.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_M_Russell_Howard.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_F_Julie_Walters.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_M_jeremy_corbyn.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_M_Gordon_Brown.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_M_nigel_farage.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_M_Sajid_Javid.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_M_Michael_McIntyr.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_M_Tony_Blair.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_M_Peter_Kay.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_M_Jimmy_Carr.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_F_Dawn_Roma_French.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_F_Jennifer_Saunders.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_F_Sarah_Millican.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_M_keir_starmer.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
E_M_Simon_Pegg.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_M_david_camer.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_M_Michael_Gove.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
P_F_Theresa_May.png,1,600606925db9c892b3939202,"07/06/2022, 17:41:33"
age: 30,gender: Female,handedness: right,600606925db9c892b3939202,"07/06/2022, 17:41:33"
