RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,600606925db9c892b3939202,"07/06/2022, 17:41:33"
21026,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4318,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4161,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4962,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3458,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3873,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4758,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
5010,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3490,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
6239,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2716,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4670,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
