RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2044,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2167,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1605,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1545,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1809,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
3220,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1792,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1557,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2226,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1500,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1493,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2504,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1793,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1518,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1957,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
