RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2003,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1567,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1597,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
3013,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1935,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1424,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2556,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2067,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1882,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1730,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2189,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1739,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1672,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1611,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2655,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2426,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2049,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1610,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1947,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1907,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2313,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1605,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1761,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1499,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1786,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2006,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1666,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
