RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
8720,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5131,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5380,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
6752,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4654,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5464,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5819,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3830,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
6108,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4827,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
7252,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3278,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
2819,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
9443,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5926,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4257,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3359,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4002,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5056,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3679,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3165,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3755,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
6011,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4053,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
7658,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4077,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5230,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3070,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5581,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4460,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3735,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3002,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3477,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5367,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4002,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3352,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3479,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3274,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
2667,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3118,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
6031,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4298,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5708,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4287,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
4221,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
3156,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
5032,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5e7347436a460d0008afbe91,"06/07/2022, 08:51:17"
