RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1928,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2157,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3823,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
5669,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
7085,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2111,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1662,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
4535,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2158,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
4287,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2173,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2077,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1839,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
4318,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3382,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2831,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2535,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1262,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
4558,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3575,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2990,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
8575,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
5558,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3503,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1855,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3742,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2735,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1245,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
