RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2991,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
4541,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3549,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3133,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3339,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3449,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2821,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2011,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2359,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2145,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3100,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2062,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2177,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2146,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1995,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3498,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2808,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2860,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2549,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2505,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2142,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
