RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4158,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
17300,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3849,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6426,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
7312,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4612,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
7143,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3206,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6953,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3755,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6460,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
9873,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3246,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3825,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3434,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3330,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4461,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
5956,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
7584,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3112,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6128,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
5210,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
5814,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3018,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
