RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
10623,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
11520,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
10151,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8101,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7362,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7972,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8252,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8401,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
10082,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8687,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
11882,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6431,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5672,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
15811,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6072,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
17232,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6182,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7811,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5441,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5731,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7702,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
13762,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
9983,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7472,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6421,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6042,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6412,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7231,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
12521,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3652,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8322,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7372,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4441,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
11962,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6146,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
10544,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7551,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
9043,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3562,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8677,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6641,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8571,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7072,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
