RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
9731,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1985,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2631,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2600,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3751,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
6134,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2708,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3078,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3441,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2441,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1707,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
5171,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
5053,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
7486,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3797,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3745,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1907,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
