RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
5507,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1537,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2828,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3240,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1442,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1733,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1850,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2042,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1464,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2095,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2925,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1896,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1595,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
4791,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2026,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2272,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1813,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2289,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2113,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1885,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1971,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2578,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1843,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2953,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2372,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2370,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2454,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1471,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2664,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3748,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1949,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3196,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2446,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1702,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1570,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2195,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2271,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2093,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2636,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
