RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
4987,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
4719,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2978,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
5653,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
5530,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
6748,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3117,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3841,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3480,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2152,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
5730,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
6125,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2053,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2860,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2962,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3360,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3324,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2403,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2726,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2005,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
4526,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
