RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
10362,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3829,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3406,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
5350,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3530,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4187,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2134,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2350,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
6044,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4318,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4135,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3756,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2540,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
5217,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3074,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
5950,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2442,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
