RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2744,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4459,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4703,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
7583,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
7293,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
5419,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3690,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3395,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2663,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3748,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4931,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3215,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
5397,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3056,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
9376,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
8051,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3655,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
6052,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
6547,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4690,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
6820,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4585,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
7915,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4658,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
9129,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3371,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4915,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4703,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
17415,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4347,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
7734,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3978,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4833,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
