RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3397,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2964,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3478,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2838,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
7506,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
6680,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3887,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4862,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2897,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2854,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4876,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3226,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5578,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
7357,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
6974,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3186,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2811,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3490,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4136,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2928,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4419,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5797,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4673,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3443,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
