RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2591,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3877,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3035,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4336,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
7429,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
6877,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2607,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3522,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5926,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4335,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3887,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4185,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4048,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2517,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2228,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
