RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2164,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3622,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2359,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1743,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2179,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3904,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
6285,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2096,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
6166,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4417,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4733,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3899,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
280135,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3056,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2553,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2579,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2090,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3820,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3085,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
7009,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4759,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4149,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
5305,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2565,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4663,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1503,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
7467,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2383,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2510,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1996,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1733,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
9238,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3588,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2710,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1830,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
251337,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
