RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3780,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4610,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3293,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3056,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3823,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3537,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4409,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3984,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
7115,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3414,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2319,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3995,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2999,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2936,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2469,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
6277,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3797,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2207,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2886,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3231,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2032,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2407,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3300,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3941,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2482,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2217,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2508,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
1894,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3353,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2333,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
1961,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2477,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3560,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2296,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5479,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5362,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2366,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4425,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2065,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
1986,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2237,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2334,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3858,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3019,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
1942,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3108,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3080,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
1806,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3015,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2316,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2493,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3947,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
1958,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
1863,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
1803,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2827,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3695,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2298,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2374,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2187,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3988,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2604,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3904,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3373,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3894,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4086,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2279,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2493,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3836,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2482,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2556,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
1958,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2446,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3354,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3029,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5200,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2492,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
7630,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2496,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3781,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5529,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2291,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2610,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3635,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5707,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4301,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2916,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2348,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2506,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2501,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2155,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2331,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2708,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
