RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
7990,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
7043,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
6877,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
8534,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
3741,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
9743,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
6109,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
4622,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
5678,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
3206,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
10125,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fd131a9a38b070be1ad92f0,"06/08/2022, 09:59:13"
