RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
8089,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
6734,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
36306,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4226,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
7496,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3289,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3176,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3564,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3043,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
7050,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
7414,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4266,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3486,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4976,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5341,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4040,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4016,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3007,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4011,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
2940,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3050,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
