RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
5402,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4081,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4842,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3707,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4853,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3176,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2676,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3821,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3887,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2926,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
