RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
5671,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
4469,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3366,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
4842,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3615,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2865,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2680,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
6382,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
4157,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2835,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
4531,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
6229,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
4147,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
6859,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2634,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3094,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
8065,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
4694,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
9013,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
6535,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
9369,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
4168,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
5789,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
13764,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2564,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3311,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2516,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2943,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2582,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2398,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2594,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
4550,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3626,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2395,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2848,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2382,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
5309,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3847,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3315,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3014,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2382,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3164,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2928,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3478,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2452,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2780,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
5062,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2294,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
2866,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3144,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
3093,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
5117,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
5495,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
10263,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
17511,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
24249,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c28cac3867f660001ae9c4a,"07/06/2022, 20:01:23"
