RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
4322,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
3228,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
4959,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
8640,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
5420,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
5338,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
4215,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
13000,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
5453,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
24724,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
6541,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
4799,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
6564,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
4380,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac228c50527ba0001c1f6bb,"07/06/2022, 19:42:18"
