RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
7876,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
5376,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
3441,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
3465,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
3370,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
3990,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
4521,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
4081,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
4546,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
3082,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
7409,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
2879,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
2467,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
2400,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
4150,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
5054,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
3351,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
3016,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
6003,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
2025,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
2168,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
2911,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
3122,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
7734,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
3559,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fbf4a93bcce0548755ae7d,"07/06/2022, 18:57:44"
