RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
1599,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2478,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2016,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
1575,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2207,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2683,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
11088,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3624,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2849,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3506,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2029,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
6406,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2617,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3000,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2547,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
4083,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
4668,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2117,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
5719,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
4118,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2360,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2850,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3914,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3198,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
