RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
5385,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
10180,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
7042,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4365,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
6025,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4407,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
5599,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4779,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4469,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3846,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3821,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3657,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2768,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3459,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2530,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2737,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
5711,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4951,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4123,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3884,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2901,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4481,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2784,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
