RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
6323,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4874,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4260,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4803,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
6024,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4443,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
5625,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3397,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
7934,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
2935,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
5917,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3907,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
10346,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3238,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
5087,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
2290,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
9211,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
5063,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4609,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3541,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4529,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
2780,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4291,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4540,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3450,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3480,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4574,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3887,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3529,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
6009,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3008,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
2714,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3573,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4895,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
6898,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
5347,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3044,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3360,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4634,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3209,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
5909,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
16156,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
8195,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
8085,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
9540,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
3975,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
12492,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
5449,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
7112,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
2804,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4176,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
4189,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
5685,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611fb8ddcc7bb35d86ec0714,"07/06/2022, 18:59:53"
