RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3211,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1677,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2961,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3565,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3010,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2400,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1783,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2829,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2081,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2198,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
