RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2791,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4122,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3041,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
9811,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2721,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2751,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3061,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4342,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4541,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3071,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3368,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2521,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
