RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5024,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2924,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2027,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
6033,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
6019,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3228,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5292,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3622,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3050,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5313,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3150,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3842,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3670,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3787,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2407,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3037,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
7151,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2770,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2755,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3846,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3429,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4375,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3184,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3727,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5406,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3589,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
6280,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5542,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4359,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5777,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3615,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3652,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3115,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3356,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4286,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3181,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3516,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4116,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3117,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4608,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3197,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4252,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
