RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
4943,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1718,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2637,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
5331,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3840,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
8135,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
4943,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
4208,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
5161,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1704,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
7266,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1623,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2542,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2157,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2890,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2470,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2036,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2004,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2572,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2574,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2990,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3041,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
