RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2690,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1939,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
7756,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2338,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1987,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
5745,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1936,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
44064,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1355,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1438,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3157,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3423,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2124,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2353,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2086,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1536,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1919,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2608,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1618,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2204,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
4259,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2069,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
15421,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
5113,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
4175,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
44699,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1718,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1706,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1872,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3741,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2286,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2671,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2436,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2053,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3160,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3389,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3323,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3490,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1768,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2036,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3088,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1401,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1468,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2570,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3306,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2053,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1918,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2922,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
